	percentage	ssgsea_score_STD	Case
76	76	5.356354815757522	RS0004
77	77	5.818931830180458	RS0004
78	78	5.173304822243135	RS0004
79	79	5.325254136243927	RS0004
80	80	5.165085089900562	RS0004
81	81	5.070114908436139	RS0004
82	82	4.704590680941997	RS0004
83	83	5.340143885490682	RS0004
84	84	5.273275832800991	RS0004
85	85	5.217276681293599	RS0004
86	86	5.316190207448301	RS0004
87	87	5.117806044311631	RS0004
88	88	5.6207010479911785	RS0004
89	89	5.123714047333737	RS0004
90	90	5.149747284972764	RS0004
91	91	5.433937767146584	RS0004
92	92	5.593908674086971	RS0004
93	93	5.2808992182323475	RS0004
94	94	5.691284869333641	RS0004
95	95	5.390370259602189	RS0004
96	96	5.546519188921996	RS0004
97	97	5.557265130284173	RS0004
98	98	5.751449391092569	RS0004
99	0	7.385473339975735	RS0005
100	1	7.32967955788599	RS0005
101	2	7.25599529284575	RS0005
102	3	7.059305462110132	RS0005
103	4	6.034694782485581	RS0005
104	5	6.6410177916892374	RS0005
105	6	5.728318904560725	RS0005
106	7	5.51861091959494	RS0005
107	8	5.485805681166575	RS0005
108	9	5.313250580750743	RS0005
109	10	5.31510482088117	RS0005
110	11	5.296764783370578	RS0005
111	12	5.4687051598701615	RS0005
112	13	4.8270302247277295	RS0005
113	14	5.046168006738198	RS0005
114	15	4.7089192831531665	RS0005
115	16	4.593355680009188	RS0005
116	17	4.734069554247445	RS0005
117	18	4.585308213858083	RS0005
118	19	4.651759545729312	RS0005
119	20	4.692053945706616	RS0005
120	21	4.973358518265882	RS0005
121	22	4.422888053775822	RS0005
122	23	4.2066530583969515	RS0005
123	24	4.900657560878779	RS0005
124	25	5.219964369526389	RS0005
125	26	4.730667694249945	RS0005
126	27	4.607681714032778	RS0005
127	28	4.345721143791048	RS0005
128	29	4.865701080248919	RS0005
129	30	4.456192465334268	RS0005
130	31	4.808648415394132	RS0005
131	32	4.947308338686835	RS0005
132	33	4.503346091138645	RS0005
133	34	4.778360749406304	RS0005
134	35	5.0714559802587775	RS0005
135	36	5.1101402140797925	RS0005
136	37	5.490451649569332	RS0005
137	38	4.842951672871839	RS0005
138	39	4.876098321831863	RS0005
139	40	5.192870532401533	RS0005
140	41	5.132788528370111	RS0005
141	42	5.091761249185313	RS0005
142	43	5.605596012789278	RS0005
143	44	5.0978104563164806	RS0005
144	45	5.835994913582807	RS0005
145	46	5.763206496790695	RS0005
146	47	5.292327505058538	RS0005
147	48	5.151954322506955	RS0005
148	49	5.249897971288312	RS0005
149	50	5.9525420578202235	RS0005
150	51	5.615193707820656	RS0005
151	52	6.022429800339865	RS0005
152	53	6.051923574627845	RS0005
153	54	6.042278179799752	RS0005
154	55	5.957080463543738	RS0005
155	56	6.164391737268624	RS0005
156	57	5.559947567904392	RS0005
157	58	5.6072151979110965	RS0005
158	59	5.746454845711847	RS0005
159	60	5.878710547680391	RS0005
160	61	5.844531982383099	RS0005
161	62	5.912192214028024	RS0005
162	63	5.6173800417572535	RS0005
163	64	5.8598867657417255	RS0005
164	65	6.824265721330384	RS0005
165	66	6.152992174138117	RS0005
166	67	6.131451210267359	RS0005
167	68	6.3443161571948385	RS0005
168	69	6.39577539559094	RS0005
169	70	5.8364406061876535	RS0005
170	71	6.79771372463786	RS0005
171	72	6.053330290150198	RS0005
172	73	6.308888406745037	RS0005
173	74	5.932467755187685	RS0005
174	75	6.428004453303953	RS0005
175	76	6.786393295275924	RS0005
176	77	6.34443434768103	RS0005
177	78	6.50409650942628	RS0005
178	79	6.725593868695386	RS0005
179	80	6.415460023752668	RS0005
