	percentage	ssgsea_score_STD	Case
0	0	5.586834490730839	RS0004
1	1	6.093772715724481	RS0004
2	2	7.650381127952912	RS0004
3	3	6.779462270684697	RS0004
4	4	6.2643190092814995	RS0004
5	5	3.5757532351376384	RS0004
6	6	7.110815044431775	RS0004
7	7	5.366364346360709	RS0004
8	8	8.974880531582912	RS0004
9	9	4.22648722838889	RS0004
10	10	10.571715829513884	RS0004
11	11	7.013992678267096	RS0004
12	12	11.359267372606636	RS0004
13	13	3.6414333270661965	RS0004
14	14	10.044176615730517	RS0004
15	15	8.841537804580064	RS0004
16	16	8.08016855796917	RS0004
17	17	7.628651282052933	RS0004
18	18	18.346784729069864	RS0004
19	19	20.045410799301248	RS0004
20	20	6.804649255753975	RS0004
21	21	6.1925941619792075	RS0004
22	22	8.799307007615425	RS0004
23	23	18.65985063294026	RS0004
24	24	14.950425741913648	RS0004
25	25	12.983379736175651	RS0004
26	26	12.243474180847208	RS0004
27	27	13.773934564358985	RS0004
28	28	20.810409920056504	RS0004
29	29	16.58684353571627	RS0004
30	30	20.934172471887653	RS0004
31	31	15.35228955996394	RS0004
32	32	26.162280736407027	RS0004
33	33	16.503422569657516	RS0004
34	34	14.610776039268746	RS0004
35	35	9.36879873703194	RS0004
36	36	10.866329273427606	RS0004
37	37	35.34114515602122	RS0004
38	38	18.99320917596462	RS0004
39	39	21.568783255622193	RS0004
40	40	15.455804336646642	RS0004
41	41	12.697532590415978	RS0004
42	42	37.103727224282245	RS0004
43	43	16.950811317571553	RS0004
44	44	36.14601053759318	RS0004
45	45	14.688901997398059	RS0004
46	46	35.277039216419595	RS0004
47	47	19.949785636468256	RS0004
48	48	35.61698171561431	RS0004
49	49	18.6916011030936	RS0004
50	50	46.85151568749803	RS0004
51	51	50.62268135319466	RS0004
52	52	43.612133586468985	RS0004
53	53	50.43133618564724	RS0004
54	54	46.169420326828764	RS0004
55	55	34.85496062447101	RS0004
56	56	29.80579581116351	RS0004
57	57	39.70664550091817	RS0004
58	58	31.71382997315493	RS0004
59	59	51.513823927011856	RS0004
60	60	28.921650032309053	RS0004
61	61	13.775655344068005	RS0004
62	62	26.863609805669995	RS0004
63	63	30.77006494877688	RS0004
64	64	36.49535102527836	RS0004
65	65	37.40965908609789	RS0004
66	66	36.26739352250179	RS0004
67	67	42.0236040689894	RS0004
68	68	44.21974604521563	RS0004
69	69	45.04398734590228	RS0004
70	70	13.546215889340637	RS0004
71	71	44.791860456163825	RS0004
72	72	29.53750070061183	RS0004
73	73	32.15133866029355	RS0004
74	74	41.83088717683769	RS0004
75	75	55.39285584124539	RS0004
76	76	42.72516447463486	RS0004
77	77	77.76821167115381	RS0004
78	78	56.65861922749038	RS0004
79	79	52.61652901793795	RS0004
80	80	47.055512467147196	RS0004
81	81	41.438344766483574	RS0004
82	82	54.990751655543896	RS0004
83	83	37.504537173982705	RS0004
84	84	48.40531337246562	RS0004
85	85	84.6019671847553	RS0004
86	86	57.31167044812475	RS0004
87	87	47.95886858220856	RS0004
88	88	54.82109750408201	RS0004
89	89	48.352799287169	RS0004
90	90	18.365449469217786	RS0004
91	91	123.46739016602326	RS0004
92	92	50.395564274326716	RS0004
93	93	57.48007991801815	RS0004
94	94	59.533315550456265	RS0004
95	95	56.29132540046734	RS0004
96	96	79.44259566539733	RS0004
97	97	83.54245446283427	RS0004
98	98	101.3059681182627	RS0004
99	0	7.385473339975735	RS0005
100	1	7.019491651068641	RS0005
101	2	9.183907348324137	RS0005
102	3	7.740107467107107	RS0005
103	4	5.311343349326017	RS0005
104	5	8.823036113744443	RS0005
105	6	9.179424386938347	RS0005
106	7	8.578190610321172	RS0005
107	8	4.480478959979152	RS0005
108	9	11.969725590864895	RS0005
109	10	5.567257819522889	RS0005
110	11	7.112842222671431	RS0005
111	12	8.436824870512877	RS0005
112	13	7.07922260032835	RS0005
113	14	10.381109215436059	RS0005
114	15	10.96199472352251	RS0005
115	16	9.673491046748559	RS0005
116	17	6.973864967884848	RS0005
117	18	8.9885667154675	RS0005
118	19	9.077172885621483	RS0005
119	20	6.778997393890579	RS0005
120	21	21.253680612146987	RS0005
121	22	14.0289211444403	RS0005
122	23	13.558017817485924	RS0005
123	24	3.9256768831019766	RS0005
124	25	10.710170276124828	RS0005
125	26	15.455721304105332	RS0005
126	27	11.275477175062889	RS0005
127	28	11.593904426840052	RS0005
128	29	15.349806217251407	RS0005
129	30	7.671459917478066	RS0005
130	31	7.584690960387727	RS0005
131	32	16.389393152110046	RS0005
132	33	8.922868781533056	RS0005
133	34	10.861884289952428	RS0005
134	35	19.334604181541568	RS0005
135	36	15.739176510047033	RS0005
136	37	10.080169682090991	RS0005
137	38	20.479615632234406	RS0005
138	39	22.37131190050027	RS0005
139	40	4.548562408682516	RS0005
140	41	13.112176584989559	RS0005
141	42	19.909480804701396	RS0005
142	43	19.078951561056243	RS0005
143	44	15.514546794929991	RS0005
144	45	7.518724691836574	RS0005
145	46	12.664051371151515	RS0005
146	47	13.095083907941914	RS0005
147	48	22.156849184832392	RS0005
148	49	29.27801633372519	RS0005
149	50	17.763721355145126	RS0005
150	51	13.67908076287962	RS0005
