	percentage	ssgsea_score_STD	Case
107	8	5.562502317200035	RS0005
108	9	7.44401178696836	RS0005
109	10	8.920308052158518	RS0005
110	11	13.546689018536336	RS0005
111	12	5.766151599936357	RS0005
112	13	4.460692363922436	RS0005
113	14	8.301758867699744	RS0005
114	15	9.37118049638952	RS0005
115	16	4.450465515623455	RS0005
116	17	8.779905482724397	RS0005
117	18	6.240491430983435	RS0005
118	19	5.521501293456656	RS0005
119	20	17.39442248281072	RS0005
120	21	9.543833740772763	RS0005
121	22	14.25131222793704	RS0005
122	23	14.309987974094403	RS0005
123	24	9.151216202378379	RS0005
124	25	9.69331228412393	RS0005
125	26	19.735778942480326	RS0005
126	27	24.261746222464488	RS0005
127	28	17.113467674314172	RS0005
128	29	17.122795516551076	RS0005
129	30	18.268465499725448	RS0005
130	31	12.050019008337667	RS0005
131	32	14.260049193803725	RS0005
132	33	21.694893666469618	RS0005
133	34	10.868967374396844	RS0005
134	35	30.871331007032474	RS0005
135	36	13.893268281472395	RS0005
136	37	19.079058116506708	RS0005
137	38	29.218624717365397	RS0005
138	39	24.134160628257284	RS0005
139	40	16.04140741487143	RS0005
140	41	25.586345700738274	RS0005
141	42	16.918582321699414	RS0005
142	43	23.655665043295567	RS0005
143	44	31.104281612142312	RS0005
144	45	21.111164509665816	RS0005
145	46	17.465436058573136	RS0005
146	47	23.702962273411636	RS0005
147	48	16.247494074253456	RS0005
148	49	17.132118955319765	RS0005
149	50	29.15200609405774	RS0005
150	51	26.269911642640206	RS0005
151	52	19.661851608680806	RS0005
152	53	30.13052768295927	RS0005
153	54	33.11787159220855	RS0005
154	55	31.922249373874347	RS0005
155	56	34.03015745103007	RS0005
156	57	42.27647476599719	RS0005
157	58	49.25282209860098	RS0005
158	59	28.30024524236985	RS0005
159	60	34.82671379205363	RS0005
160	61	32.57344903310716	RS0005
161	62	39.94406716130305	RS0005
162	63	37.74159630979004	RS0005
163	64	34.72230749274075	RS0005
164	65	44.86873311022024	RS0005
165	66	54.53615168445077	RS0005
166	67	57.39928961844232	RS0005
167	68	36.566038139813585	RS0005
168	69	49.3145546510625	RS0005
169	70	63.206927755467774	RS0005
170	71	67.76171547276208	RS0005
171	72	68.51983368003611	RS0005
172	73	58.469270576803886	RS0005
173	74	43.23938437506414	RS0005
174	75	49.5089564548955	RS0005
175	76	55.11177881688151	RS0005
176	77	47.088068993385185	RS0005
177	78	63.94425682988126	RS0005
178	79	63.41688510143913	RS0005
179	80	69.55139444373611	RS0005
180	81	42.500147257160606	RS0005
181	82	48.7524125088671	RS0005
182	83	58.69351104640289	RS0005
183	84	73.38732949632104	RS0005
184	85	46.65491419729316	RS0005
185	86	57.29987846422107	RS0005
186	87	90.78568037794152	RS0005
187	88	83.03263573937782	RS0005
188	89	47.15748968026149	RS0005
189	90	58.50218547414358	RS0005
190	91	90.59111726747386	RS0005
191	92	42.055760628270846	RS0005
192	93	88.67907961583423	RS0005
193	94	99.2535298665778	RS0005
194	95	84.903613228799	RS0005
195	96	97.26125706479053	RS0005
196	97	101.3768275083471	RS0005
197	98	98.18432577302428	RS0005
198	0	5.844497308521008	RS0007
199	1	5.482056802752112	RS0007
200	2	6.946941246753011	RS0007
201	3	5.55357748891282	RS0007
202	4	4.999508335728637	RS0007
203	5	3.5033975963940125	RS0007
204	6	4.6510823543456805	RS0007
205	7	7.249960266389366	RS0007
206	8	7.7438833180619975	RS0007
207	9	6.921413462373906	RS0007
208	10	5.572451531627733	RS0007
209	11	10.090322318830935	RS0007
210	12	5.727247617795762	RS0007
211	13	5.680224832798468	RS0007
212	14	8.510352975123206	RS0007
213	15	9.274312827618425	RS0007
214	16	7.608446662179281	RS0007
215	17	6.658862579888081	RS0007
216	18	12.774143945089964	RS0007
217	19	16.339310090271926	RS0007
218	20	10.866664328340132	RS0007
219	21	9.956409955123497	RS0007
220	22	7.935837137323093	RS0007
221	23	8.906321368809753	RS0007
222	24	14.971055474503197	RS0007
223	25	11.583865914716652	RS0007
224	26	15.067522815861143	RS0007
225	27	13.624025629541874	RS0007
226	28	8.91291998620069	RS0007
227	29	9.962252851823191	RS0007
228	30	9.975078687638385	RS0007
229	31	15.77195144807803	RS0007
230	32	15.700093362583193	RS0007
231	33	14.480135690556374	RS0007
232	34	18.42520269937349	RS0007
233	35	18.992590168466865	RS0007
234	36	12.018533800848099	RS0007
235	37	25.205020299052112	RS0007
236	38	18.330726085338995	RS0007
237	39	21.170211491764572	RS0007
238	40	17.967288921963135	RS0007
239	41	20.036339434029642	RS0007
240	42	22.56790979167358	RS0007
241	43	22.536035398469306	RS0007
242	44	23.99865451426196	RS0007
243	45	22.792365106800005	RS0007
244	46	27.359560900096263	RS0007
245	47	26.1586854501757	RS0007
246	48	24.614252073295773	RS0007
247	49	25.11193878572418	RS0007
248	50	30.77043750067081	RS0007
249	51	22.501307544212256	RS0007
250	52	32.55579116635235	RS0007
251	53	30.959725170105326	RS0007
252	54	23.18247095707357	RS0007
253	55	31.518468593857673	RS0007
254	56	31.593168738868826	RS0007
255	57	39.322921627942755	RS0007
