	percentage	ssgsea_score_STD	Case
0	0	0.8297264605925345	RS0164
1	1	0.9921705507142715	RS0164
2	2	1.2749199621490475	RS0164
3	3	1.9749745480021852	RS0164
4	4	6.5717848584256	RS0164
5	5	1.9725043059153806	RS0164
6	6	3.702076173942827	RS0164
7	7	5.695144648756017	RS0164
8	8	1.4865847888425678	RS0164
9	9	6.623904016065325	RS0164
10	10	4.485112696532045	RS0164
11	11	5.320861842222743	RS0164
12	12	2.003128766955569	RS0164
13	13	4.071800799557195	RS0164
14	14	2.3544070375969417	RS0164
15	15	0.4962101203523099	RS0164
16	16	1.3418533576825062	RS0164
17	17	2.064251452987108	RS0164
18	18	3.812810089224613	RS0164
19	19	4.135225921490362	RS0164
20	20	8.400047796946984	RS0164
21	21	8.19806900348184	RS0164
22	22	7.485452716149027	RS0164
23	23	6.246492194504332	RS0164
24	24	1.4492170722264597	RS0164
25	25	3.3736742848300305	RS0164
26	26	10.750559589382563	RS0164
27	27	2.8859322265946155	RS0164
28	28	6.168288144931329	RS0164
29	29	2.620300443150532	RS0164
30	30	4.766906587157364	RS0164
31	31	4.4964469435142576	RS0164
32	32	6.532656674851347	RS0164
33	33	7.855395028959088	RS0164
34	34	3.3878550886915595	RS0164
35	35	2.3740648237479163	RS0164
36	36	2.1339154867656798	RS0164
37	37	12.116958356011379	RS0164
38	38	4.885785643345139	RS0164
39	39	4.841617109298028	RS0164
40	40	10.091337195269322	RS0164
41	41	4.419977550993675	RS0164
42	42	18.691940213216775	RS0164
43	43	9.005151982283346	RS0164
44	44	17.379153823046412	RS0164
45	45	5.535642106572237	RS0164
46	46	4.523720664850533	RS0164
47	47	31.710005118383982	RS0164
48	48	5.411544048546682	RS0164
49	49	21.94327199920891	RS0164
50	50	7.521795529675895	RS0164
51	51	9.674762896977425	RS0164
52	52	9.594511541801042	RS0164
53	53	4.007795355956557	RS0164
54	54	10.577565460573954	RS0164
55	55	15.531164797142765	RS0164
56	56	7.918643251798877	RS0164
57	57	5.014503736214606	RS0164
58	58	22.879685740205492	RS0164
59	59	5.818054932654644	RS0164
60	60	9.471282738661284	RS0164
61	61	19.1656374032001	RS0164
62	62	11.551479381736607	RS0164
63	63	23.937537390525133	RS0164
64	64	17.658279935513537	RS0164
65	65	13.83378450897242	RS0164
66	66	7.525097344247733	RS0164
67	67	13.175324869047156	RS0164
68	68	12.582767073329123	RS0164
69	69	11.170049009994678	RS0164
70	70	8.305229483636865	RS0164
71	71	6.151517607018494	RS0164
72	72	18.632264189016105	RS0164
73	73	13.154784869948779	RS0164
