	percentage	ssgsea_score_STD	Case
167	68	3.0299452410553984	RS0167
168	69	3.1727417660466677	RS0167
169	70	3.0809507904614786	RS0167
170	71	2.7732416349761433	RS0167
171	72	2.8047019834030182	RS0167
172	73	2.8879079514065684	RS0167
173	74	2.8381633554230623	RS0167
174	75	2.7882448913768862	RS0167
175	76	2.954201817428634	RS0167
176	77	2.9269653648194494	RS0167
177	78	2.956574498627519	RS0167
178	79	3.0732852556654087	RS0167
179	80	2.9166394724976983	RS0167
180	81	2.9475147149882037	RS0167
181	82	3.1057897885752257	RS0167
182	83	3.3847551013445063	RS0167
183	84	3.0178541335754847	RS0167
184	85	3.234939285336787	RS0167
185	86	3.1076210284144046	RS0167
186	87	3.1117208982856512	RS0167
187	88	3.161068347760849	RS0167
188	89	3.0451588725010867	RS0167
189	90	2.946006573337798	RS0167
190	91	3.2702240306820616	RS0167
191	92	3.22106223354651	RS0167
192	93	3.091302244655245	RS0167
193	94	3.185217668748319	RS0167
194	95	3.2144205580958842	RS0167
195	96	3.1740443387579904	RS0167
196	97	3.4228294339412324	RS0167
197	98	3.205525715865623	RS0167
198	0	2.1799574943965103	RS0169
199	1	2.107577578005581	RS0169
200	2	1.8239253196899181	RS0169
201	3	1.6861323763791527	RS0169
202	4	1.7653281349165262	RS0169
203	5	1.8007115134071539	RS0169
204	6	1.6107544979192698	RS0169
205	7	1.368506361586479	RS0169
206	8	1.1952369331086075	RS0169
207	9	1.373012210074488	RS0169
208	10	1.409504695066547	RS0169
209	11	1.3355385765166208	RS0169
210	12	1.0642030431509124	RS0169
211	13	1.0285495904834434	RS0169
212	14	0.8115270801724225	RS0169
213	15	0.9320016023137329	RS0169
214	16	1.0315647505535304	RS0169
215	17	1.105191959761926	RS0169
216	18	0.9450157874035895	RS0169
217	19	0.8586301712866153	RS0169
218	20	0.8722284489780873	RS0169
219	21	0.7468010676043685	RS0169
220	22	0.5928130952928926	RS0169
221	23	0.6419969703557689	RS0169
222	24	0.8204366661603177	RS0169
223	25	0.9938527915130416	RS0169
224	26	0.9264385972084962	RS0169
225	27	1.0689089193222534	RS0169
226	28	0.7685709720726333	RS0169
227	29	0.5807582194740553	RS0169
228	30	0.7213465522117183	RS0169
229	31	0.8410111008884886	RS0169
230	32	0.7810750155743997	RS0169
231	33	0.6214119214403627	RS0169
232	34	0.912074560430157	RS0169
233	35	0.8511720152716483	RS0169
234	36	0.6881320484871426	RS0169
235	37	0.6287348382846342	RS0169
236	38	0.7066697629033134	RS0169
237	39	0.8553103647416732	RS0169
238	40	0.7382669874639384	RS0169
239	41	0.8389235304382263	RS0169
240	42	0.8443058646557111	RS0169
241	43	0.907573515383492	RS0169
242	44	0.8883602165085759	RS0169
243	45	0.6292799538255796	RS0169
244	46	1.1504359925462762	RS0169
245	47	1.1949607022557855	RS0169
246	48	0.7774800145820876	RS0169
247	49	0.8088590418854372	RS0169
248	50	0.9867469546055311	RS0169
249	51	0.9785696800613377	RS0169
250	52	1.0249040127769409	RS0169
251	53	1.1011991889861665	RS0169
252	54	0.9457566034279504	RS0169
253	55	1.2423399757810203	RS0169
254	56	1.2839838649140651	RS0169
255	57	1.2955051840483525	RS0169
256	58	1.3393137660473913	RS0169
257	59	1.4137589964475847	RS0169
258	60	1.5653182481670462	RS0169
259	61	1.197757907330654	RS0169
260	62	1.322145252463988	RS0169
261	63	1.227871892657423	RS0169
262	64	1.9603365600450777	RS0169
263	65	1.8039775060322745	RS0169
264	66	1.492263228490007	RS0169
265	67	1.4540263661959851	RS0169
266	68	1.802071126328719	RS0169
267	69	1.796523613293269	RS0169
268	70	1.631309191722469	RS0169
269	71	1.2319198868323453	RS0169
270	72	1.3961524963701355	RS0169
271	73	1.5737345526831725	RS0169
272	74	1.283146267850019	RS0169
273	75	1.4101928363416685	RS0169
274	76	1.3558286122468417	RS0169
275	77	1.5828205553699048	RS0169
276	78	1.6530540606034447	RS0169
277	79	1.5363447895768254	RS0169
278	80	1.5969391523256378	RS0169
279	81	1.8472051489426737	RS0169
280	82	1.8435546795837374	RS0169
281	83	1.7867582203802594	RS0169
282	84	1.4975323393817068	RS0169
283	85	1.9493010100084787	RS0169
284	86	1.61824664820006	RS0169
285	87	1.8619616252827647	RS0169
286	88	1.6321682813197753	RS0169
287	89	1.7134142853278458	RS0169
288	90	1.7706628740310684	RS0169
289	91	1.8344135317686612	RS0169
290	92	1.9810221228653737	RS0169
291	93	1.924949264347829	RS0169
292	94	1.7930838710165844	RS0169
293	95	1.901372224774742	RS0169
294	96	1.8073013655091126	RS0169
295	97	1.9270399035660148	RS0169
296	98	1.6869441623672394	RS0169
297	0	1.4013534795295919	RS0174
298	1	1.420021224553851	RS0174
299	2	1.321719249286467	RS0174
300	3	1.268316519488386	RS0174
301	4	1.2249422004572548	RS0174
302	5	1.2035231223768847	RS0174
303	6	1.235103332149427	RS0174
304	7	1.2722269374389015	RS0174
305	8	1.2588999446055171	RS0174
306	9	0.9203739126689077	RS0174
307	10	0.9385748272293124	RS0174
308	11	0.9851175133846246	RS0174
309	12	0.9881025038561599	RS0174
310	13	0.765466362424946	RS0174
311	14	0.921660856322082	RS0174
312	15	1.0485301200085622	RS0174
313	16	1.0255577699591218	RS0174
314	17	1.1657085106245124	RS0174
315	18	1.074520991829045	RS0174
316	19	1.165223319563024	RS0174
317	20	1.0767926559176855	RS0174
318	21	0.9880940940418869	RS0174
319	22	1.2298125203767483	RS0174
320	23	1.1500361274343254	RS0174
321	24	1.4165735802408101	RS0174
322	25	1.1337032390273376	RS0174
323	26	1.1703741491135087	RS0174
324	27	1.0899556308622544	RS0174
325	28	1.2262733611864571	RS0174
326	29	1.1160735607351038	RS0174
327	30	1.222803673403907	RS0174
328	31	1.068766858703894	RS0174
329	32	1.2383578836073457	RS0174
330	33	1.2888471178416243	RS0174
331	34	1.2076661116379548	RS0174
332	35	1.386718199266002	RS0174
333	36	1.1940644347751295	RS0174
334	37	1.1189193017251362	RS0174
335	38	1.2309121805137941	RS0174
336	39	1.097795840680239	RS0174
337	40	1.1294014656432363	RS0174
338	41	1.3310253420166673	RS0174
339	42	1.4174484902109719	RS0174
340	43	1.4223208450901579	RS0174
341	44	1.1275095865512197	RS0174
342	45	1.1574054622262355	RS0174
343	46	1.2943671363346838	RS0174
344	47	1.2627198286154393	RS0174
345	48	1.10542639080679	RS0174
346	49	1.1941035543052028	RS0174
347	50	1.256557891253579	RS0174
348	51	1.2958986002022772	RS0174
349	52	1.1519063689735474	RS0174
350	53	1.4194814053484468	RS0174
351	54	1.391101552119035	RS0174
352	55	1.12163115521351	RS0174
353	56	1.2880782785823708	RS0174
354	57	1.24319127854141	RS0174
355	58	1.3083826153653617	RS0174
356	59	1.181373787148535	RS0174
357	60	1.1397376448708416	RS0174
358	61	1.478295336323949	RS0174
359	62	1.335413010509007	RS0174
360	63	1.2465041572693245	RS0174
361	64	1.4729802611332643	RS0174
362	65	1.6483193792808475	RS0174
363	66	1.7701384009084307	RS0174
364	67	1.467762428437428	RS0174
365	68	1.581626074834939	RS0174
366	69	1.5113297628236324	RS0174
367	70	1.381324506643123	RS0174
368	71	1.192632122456257	RS0174
369	72	1.1862113124047184	RS0174
370	73	1.4268032403159479	RS0174
371	74	1.1424743126711419	RS0174
372	75	1.2718860170472455	RS0174
373	76	1.3618255945443933	RS0174
374	77	1.365689814401772	RS0174
375	78	1.5482751158807924	RS0174
376	79	1.2105015344340015	RS0174
377	80	1.4038471411057494	RS0174
378	81	1.5378266285432762	RS0174
379	82	1.4291120556215615	RS0174
380	83	1.6831556663424763	RS0174
381	84	1.3729103820137976	RS0174
382	85	1.6603639136658064	RS0174
383	86	1.3211258901113536	RS0174
384	87	1.5864541979146265	RS0174
385	88	1.5150001752560756	RS0174
386	89	1.468375137669924	RS0174
387	90	1.4203424486555227	RS0174
388	91	1.4739818506765847	RS0174
389	92	1.6104005206359158	RS0174
390	93	1.5504678483355594	RS0174
391	94	1.438170578391193	RS0174
392	95	1.5029444469360744	RS0174
393	96	1.4286106413314044	RS0174
394	97	1.4990091880017353	RS0174
395	98	1.3544008842971822	RS0174
396	0	2.166165425118024	RS0186
397	1	2.1866239417959115	RS0186
398	2	2.0587673371266506	RS0186
399	3	1.8828229003341896	RS0186
400	4	1.5653194002909936	RS0186
401	5	1.668965415076496	RS0186
402	6	1.5426108848025304	RS0186
403	7	1.4035863017285346	RS0186
